"Dependiente","ANAL","SPRI","OVSDS","OVSEE","OVSAE","VHAC","OVPT","PL.5000","PO2SM","IM","area_mun..ha.","Sum_POBTOT","R_Inun","R_Hur","R_Des","R_Seq","R_IF","R_Den"
0,6.83,16.25,1.65,0.51,7.16,53.36,7.37,0.12,54.84,-1.16,914.51,6848,5,4,0,5,2,0
1,3.93,14.99,0.55,0.41,7.1,33.24,5.04,7.2,37.7,-1.61,24574.52,551926,4,3,0,4,1,0
1,6.98,39.41,28.63,4.04,15.59,45.48,9.81,69.72,65.88,-0.6,356309.94,60704,1,1,1,3,3,0
1,31.13,51.93,5.49,7.21,30.59,60.78,53.46,61.12,75.23,0.84,23222.69,21728,5,5,4,4,3,0
1,10.43,32.98,14.19,3.14,5.08,64.11,11.39,100,89.03,0.08,18709.54,15802,0,2,2,3,3,0
0,11.47,38.47,17.41,5.29,12.43,46.81,3.8,37.88,51.86,-0.9,249041.65,152309,1,1,1,1,1,0
0,5.94,24.12,1.02,4.66,7.82,41.15,4.85,13.22,44.31,-1.21,156881.67,116679,3,1,0,5,1,0
0,5.44,20.32,0.92,2.53,1.79,48.06,7.1,14.85,43.12,-1.25,164436.43,210824,4,2,0,4,3,0
1,20.76,47.75,8.88,3.06,17.75,74.44,15.58,100,72.73,0.99,2180.31,2707,0,5,4,2,1,0
0,10.58,41.6,5.7,0.69,1.83,45.36,3.9,13.68,48.7,-1.2,11548.01,59270,2,3,0,5,5,5
1,32.96,54.58,24.17,5.6,0.95,64.6,50.04,47.43,70.29,0.75,29417.98,14174,5,4,2,5,1,0
1,16.77,37.79,23.62,5.27,9.54,52.93,20.61,54.62,56.16,-0.16,201204.33,114471,2,3,1,3,1,0
0,4.02,16.27,3.13,1.7,1.67,27.4,2.71,6.16,39.09,-1.9,146706.56,772178,3,3,0,5,3,0
1,14.32,39.1,3.4,9.27,66.47,48.95,22.74,100,73.32,0.39,52686.62,24342,5,5,2,3,3,0
1,9.71,33.26,4.43,2.3,41.4,42.57,9.94,72.98,56.69,-0.44,39542.69,58684,5,2,0,3,1,0
1,5.61,32.3,9.07,0.84,0.53,34.05,10.19,56.12,73.85,-0.77,111528.98,24864,3,1,0,3,3,0
0,11.27,33.24,11.77,2.46,16.5,60.67,22.23,32.82,64.91,-0.63,17603.41,46727,4,4,0,5,2,5
1,7.81,28.86,14.86,1,11.88,66.89,28.06,19.06,79.67,-0.23,2320.84,8657,0,4,0,4,2,0
1,13.67,44.86,1.37,0.43,1.29,31.89,4.5,37.38,58.16,-0.52,15097,9962,5,3,0,3,5,5
1,11.1,31.93,21.12,1.57,3.99,56.42,2.4,100,73.2,-0.21,4386.84,4080,4,5,0,3,5,0
1,3.29,16.32,1.3,2.28,7.33,48.91,6.98,1.24,30.36,-1.73,14958.3,357888,2,1,0,3,3,0
0,9.56,23.91,5.99,1.21,3.93,34.35,5.88,33.24,42.15,-1.21,74931.26,259949,4,3,1,5,2,5
1,5.13,30.92,3.8,2.21,0.25,38.29,6.3,100,61.8,-1.03,36858.38,2625,0,1,0,3,1,0
1,20.77,46.48,48.41,4.45,4.23,53.04,16.93,81,66.6,0.32,100341.84,36735,3,3,0,4,1,0
1,21.31,43.72,3.16,6.3,29.01,46.34,50.32,100,73.81,0.47,15473.08,5837,2,5,0,3,2,0
0,9.25,25.05,2.05,2.93,45.95,38.47,5.1,17.38,51.67,-0.58,31640.41,39157,5,3,0,2,2,0
1,27.81,51.28,11.44,8.47,36.16,61.5,32.55,100,83.48,0.94,17856.52,18158,1,3,5,4,2,0
1,21.11,47.06,7.2,4.87,35.89,60.52,31.25,56.22,78.95,0.46,23913.02,34506,5,4,0,0,3,0
1,16.06,44.36,12.86,4.57,39.06,67.73,28.91,100,87.89,0.71,17601.61,27808,5,3,2,0,2,0
0,9.61,25.9,6.96,2.62,32.63,53.2,14.61,57.04,55.43,-0.48,242615.68,153039,5,2,2,2,2,0
1,1.62,9.8,0.06,0.1,0.23,25.61,0.46,0,20.46,-2.29,5960.31,443273,4,1,0,3,3,5
0,26.02,48.17,8.68,10.59,21.79,47.15,24.99,72.29,70.54,0.35,61621.97,55871,5,5,4,4,1,0
0,4.66,24.61,4.78,1.02,0.86,28.6,0.74,100,38.86,-1.2,104763.94,3911,1,1,0,2,1,0
